ref_area.label,source.label,indicator.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Niveles de competencia 3 y 4 ~ altos,2018,17.969,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 2 ~ medio,2018,15.019,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 1 ~ bajo,2018,-11.885,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 1. Directores y gerentes,2018,18.087,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 2. Profesionales científicos e intelectuales,2018,25.492,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 3. Técnicos y profesionales de nivel medio,2018,21.704,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Total,2017,8.872,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Niveles de competencia 3 y 4 ~ altos,2017,18.82,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 2 ~ medio,2017,14.079,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 1 ~ bajo,2017,-12.014,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
